target,split,model,mae,mse,r2
Poly Diffusivity,3,RF,5.291774449841058e-09,6.219234228983518e-17,0.4871138607132296
Poly Diffusivity,3,XGB,5.354512390852353e-09,6.888789969288288e-17,0.4318971176161721
Poly Diffusivity,4,Linear,7.535253817294301e-09,9.75587808432311e-17,0.20105426115496638
Poly Diffusivity,4,RF,5.2837458117039485e-09,6.211214731327424e-17,0.4913401438851772
Poly Diffusivity,4,XGB,4.994077928703772e-09,5.3169262327564066e-17,0.5645768099295757
Transference Number,0,Linear,0.19353428639800713,0.060702167389790895,0.15770945634076017
Transference Number,0,RF,0.180007689985763,0.0541623716349168,0.2484542906466224
Transference Number,0,XGB,0.1768218859627975,0.0528280583599665,0.26696894180483866
Transference Number,1,Linear,0.2027333835948286,0.07044676946518105,0.1666786957985471
Transference Number,1,RF,0.18518120720194844,0.05999161289590632,0.29035370281564876
Transference Number,1,XGB,0.17897912618130174,0.056117699710200544,0.33617857757972314
Transference Number,2,Linear,0.1893232459513337,0.06194815826629101,0.22412054709380158
Transference Number,2,RF,0.17031364603562013,0.0499906457497835,0.37388429357269015
Transference Number,2,XGB,0.1686645836056949,0.04948197641763188,0.3802552026390008
Transference Number,3,Linear,0.20050912632699974,0.07291512840680836,0.2073592184840931
Transference Number,3,RF,0.19002065980895447,0.06377136119032072,0.3067586565820386
Transference Number,3,XGB,0.18256704578846208,0.06175242888020904,0.3287059275953501
Transference Number,4,Linear,0.18680886635710586,0.06137509767988478,0.16105299377802762
Transference Number,4,RF,0.1835961424099645,0.05695307766606062,0.22149836319154614
Transference Number,4,XGB,0.17518689575741728,0.05283478933605254,0.27779197079180784
