target,split,model,mae,r2,rmse
Poly Diffusivity,0,XGB,3.4601922350626374e-09,0.8149780699401941,2.4613607738909938e-17
Poly Diffusivity,1,Linear,4.1277064908159035e-09,0.7432197407590312,3.1270925349486755e-17
Poly Diffusivity,1,RF,3.48561694117647e-09,0.7921280860853754,2.5314824128201685e-17
Poly Diffusivity,1,XGB,3.70763346772784e-09,0.7765668440568942,2.7209885840719405e-17
Poly Diffusivity,2,Linear,4.239873049984682e-09,0.7693398932452928,3.345891715591907e-17
Poly Diffusivity,2,RF,3.451881210084033e-09,0.8348308542399205,2.3958979480475955e-17
Poly Diffusivity,2,XGB,3.596333271288649e-09,0.8186513665227853,2.630593122158709e-17
Poly Diffusivity,3,Linear,4.131171720442112e-09,0.7584184758461461,2.929406683122684e-17
Poly Diffusivity,3,RF,3.233548268907562e-09,0.829843967850967,2.063304383465881e-17
Poly Diffusivity,3,XGB,3.441309840817204e-09,0.8133795110018771,2.262951645799537e-17
Poly Diffusivity,4,Linear,4.133065205408883e-09,0.7056016563262598,3.5948803647912694e-17
Poly Diffusivity,4,RF,3.276937310924369e-09,0.7942696000129443,2.5121614684549245e-17
Poly Diffusivity,4,XGB,3.6291882581433307e-09,0.739370939534181,3.18252569043289e-17
Transference Number,0,Linear,0.16233578360551842,0.38368629868592086,0.044416475696448264
Transference Number,0,RF,0.15898449974453785,0.4093183495332464,0.042569225893169624
Transference Number,0,XGB,0.16662705962101299,0.31690108924091165,0.04922954998941254
Transference Number,1,Linear,0.16673744017655856,0.4218776908033379,0.048872924325008955
Transference Number,1,RF,0.1693265313512605,0.4163926872832098,0.04933661195251832
Transference Number,1,XGB,0.17742606711125078,0.36706500209807347,0.05350664342653456
Transference Number,2,Linear,0.16384189096407198,0.39914301475910985,0.047973926204241395
Transference Number,2,RF,0.15769172485378152,0.4362281429051469,0.04501295671457232
Transference Number,2,XGB,0.16799145901280732,0.3550955822621721,0.051490783506394945
Transference Number,3,Linear,0.17180110296458453,0.42922768396723787,0.05250541945998151
Transference Number,3,RF,0.16862563850420167,0.45709313205078594,0.049942073272772516
Transference Number,3,XGB,0.17332153331856764,0.40755479055469634,0.05449911173897362
Transference Number,4,Linear,0.16545361310784149,0.2766777267271685,0.05291630442317877
Transference Number,4,RF,0.16038909149355743,0.3673381177848838,0.04628383501140808
Transference Number,4,XGB,0.16354173082870496,0.34740863926052634,0.047741821847370365
