target,split,model,mae,r2,rmse
Li Diffusivity,0,RF,4.220125176470588e-09,0.5509024621966032,3.147807883157245e-17
Li Diffusivity,0,XGB,4.479276946020799e-09,0.5008688117235492,3.498503013111757e-17
Li Diffusivity,1,Linear,4.463747853776123e-09,0.4670916028039094,3.400659113055941e-17
Li Diffusivity,1,RF,4.569242823529413e-09,0.4452931548050145,3.539761989325014e-17
Li Diffusivity,1,XGB,4.552571002339665e-09,0.4529827209050654,3.4906924059385055e-17
Li Diffusivity,2,Linear,4.4006559690486215e-09,0.5569668323527859,3.102356709155542e-17
Li Diffusivity,2,RF,4.2500460168067225e-09,0.585286733511067,2.904045517630992e-17
Li Diffusivity,2,XGB,4.397762181204516e-09,0.5443044244581748,3.1910257049657885e-17
Li Diffusivity,3,Linear,4.547491198223955e-09,0.4947108050635085,3.373270761872269e-17
Li Diffusivity,3,RF,4.4669521344537815e-09,0.5056976572840626,3.299923404097749e-17
Li Diffusivity,3,XGB,4.680267530366478e-09,0.4514012502625707,3.662401929496129e-17
Li Diffusivity,4,Linear,4.566552487661731e-09,0.4860143033756341,3.681086813958129e-17
Li Diffusivity,4,RF,4.468161243697479e-09,0.5105324457927726,3.505491634272739e-17
Li Diffusivity,4,XGB,4.648192137431674e-09,0.471098620160465,3.7879106519854e-17
Poly Diffusivity,0,Linear,4.1660041352231425e-09,0.7578871861691887,3.2208451323954205e-17
Poly Diffusivity,0,RF,3.243623966386554e-09,0.8470966810601388,2.0340844532032935e-17
Poly Diffusivity,0,XGB,3.4642425458289877e-09,0.8248293923721061,2.330307884122614e-17
Poly Diffusivity,1,Linear,4.1942857902239555e-09,0.7349336457280295,3.2280013275167385e-17
Poly Diffusivity,1,RF,3.527854647058824e-09,0.7885383296286821,2.5751987820270214e-17
Poly Diffusivity,1,XGB,3.703699293966255e-09,0.759606351384631,2.9275349524776013e-17
Poly Diffusivity,2,Linear,4.291871035637892e-09,0.7626757858352453,3.4425594146093394e-17
Poly Diffusivity,2,RF,3.509145512605042e-09,0.8313152984275629,2.4468936283746555e-17
Poly Diffusivity,2,XGB,3.6622155845880672e-09,0.8235871933444647,2.5589953833706307e-17
Poly Diffusivity,3,Linear,4.188264158797947e-09,0.7494741220962939,3.0378655139161494e-17
Poly Diffusivity,3,RF,3.3562199327731086e-09,0.8198817548233799,2.184105730025478e-17
Poly Diffusivity,3,XGB,3.4997174729890706e-09,0.8028973628122831,2.3900577027201953e-17
Poly Diffusivity,4,Linear,4.2420783899018025e-09,0.6605751095112378,4.144696804040876e-17
Poly Diffusivity,4,RF,3.225453899159664e-09,0.8045496805387308,2.3866320270543367e-17
Poly Diffusivity,4,XGB,3.498600004375504e-09,0.7726851178255095,2.775728274679172e-17
Transference Number,0,Linear,0.16472925766981739,0.36889323726068923,0.04548258156407528
Transference Number,0,RF,0.1600581949815126,0.39331880197908275,0.04372228076373062
Transference Number,0,XGB,0.16540597379750321,0.34710119912718473,0.047053089456515616
Transference Number,1,Linear,0.17025933397982185,0.40445329656465623,0.05034593632867915
Transference Number,1,RF,0.17018061341512603,0.4097747865773935,0.04989607169873571
Transference Number,1,XGB,0.1812093039819104,0.30713650723821917,0.05857283919100387
Transference Number,2,Linear,0.16597797748660567,0.3786655769761329,0.04960889611086341
Transference Number,2,RF,0.15862405930756304,0.42579681952678294,0.045845819692383216
Transference Number,2,XGB,0.16811661416484974,0.3594177507095666,0.05114569075515652
Transference Number,3,Linear,0.1753088009737638,0.3964293156345303,0.05552254562139284
Transference Number,3,RF,0.1704695567932773,0.44759423963230915,0.05081587761966858
Transference Number,3,XGB,0.171106035912839,0.44013899326313777,0.051501686701145445
Transference Number,4,Linear,0.16868525129888612,0.23072472447421566,0.056278101987318016
Transference Number,4,RF,0.16258153554877955,0.35074912830368765,0.04749744068884416
Transference Number,4,XGB,0.17036474985677516,0.2999044544439001,0.05121709973941914
