target,split,test/mae,test/r2,test/rmse,model
Li Diffusivity,2,4.519196016185336e-09,0.49767410988111904,5.930898976634997e-09,XGB
Poly Diffusivity,2,3.963310793805944e-09,0.7967300558434827,5.430080655165096e-09,XGB
Transference Number,2,0.17143244537808053,0.36959174757851687,0.22435100483435383,XGB
Conductivity,3,1.361126637604303e-05,0.7407591869233685,1.7817187451147424e-05,Linear
TFSI Diffusivity,3,6.637393462876744e-09,0.6491177368994387,8.49618137011789e-09,Linear
Li Diffusivity,3,4.4871769179830265e-09,0.5001101462392732,5.776872152452199e-09,Linear
Poly Diffusivity,3,4.078122688946393e-09,0.7685395701720411,5.297809688063983e-09,Linear
Transference Number,3,0.17677717780263805,0.389820723703718,0.23691870093168427,Linear
Conductivity,3,1.4038776571428573e-05,0.7175798585423239,1.859667472202398e-05,RF
TFSI Diffusivity,3,6.732380168067227e-09,0.6270787659819329,8.758941453523255e-09,RF
Li Diffusivity,3,4.478846084033613e-09,0.517629242706547,5.674741476115265e-09,RF
Poly Diffusivity,3,3.689184806722688e-09,0.7918401734121419,5.024078705061265e-09,RF
Transference Number,3,0.17212063050756304,0.40904486233737036,0.23315668517590699,RF
Conductivity,3,1.5008738075258647e-05,0.6707387201994516,2.007972647860923e-05,XGB
TFSI Diffusivity,3,6.815424559479774e-09,0.6012865644114278,9.056773410501495e-09,XGB
Li Diffusivity,3,4.643961902154349e-09,0.47702225646525376,5.90877154357847e-09,XGB
Poly Diffusivity,3,4.015934541227192e-09,0.7460264818244547,5.549478754441917e-09,XGB
Transference Number,3,0.18219021059099047,0.3382342435388205,0.24673045588136971,XGB
Conductivity,4,1.443362156514559e-05,0.6696763279900099,2.0259535846911243e-05,Linear
TFSI Diffusivity,4,6.898867032588025e-09,0.6448072442496928,9.348533706755935e-09,Linear
Li Diffusivity,4,4.202933184064299e-09,0.5659495595243251,5.575484513399388e-09,Linear
Poly Diffusivity,4,4.176528241113446e-09,0.7441355802892877,5.589584018880255e-09,Linear
Transference Number,4,0.16484819644081755,0.3532197774431246,0.21752400940807248,Linear
Conductivity,4,1.5068951462184873e-05,0.6504662811921403,2.0840310309379277e-05,RF
TFSI Diffusivity,4,6.6945684705882346e-09,0.6628050428988407,9.108607408752772e-09,RF
Li Diffusivity,4,4.280978924369749e-09,0.5532385730296765,5.6565332968183605e-09,RF
Poly Diffusivity,4,3.586787831932773e-09,0.7920688513307643,5.0388834849372914e-09,RF
Transference Number,4,0.16380079385210086,0.35408219832200927,0.21737893708025774,RF
Conductivity,4,1.573764202784617e-05,0.6000510604725602,2.2292661277325594e-05,XGB
TFSI Diffusivity,4,6.92952913441292e-09,0.6241012561727175,9.617160978669619e-09,XGB
Li Diffusivity,4,4.710868872103931e-09,0.47052069449257306,6.157962054996476e-09,XGB
Poly Diffusivity,4,3.7426757537138375e-09,0.7703827678956718,5.2951318495296646e-09,XGB
Transference Number,4,0.1754520150485809,0.23706937709926723,0.2362497499107205,XGB
